date,symbol,asset_name,asset_class,close
2026-06-08,159915.SZ,创业板ETF,chinext,3.827
2026-06-09,159915.SZ,创业板ETF,chinext,3.972
2026-06-10,159915.SZ,创业板ETF,chinext,3.87
2026-06-11,159915.SZ,创业板ETF,chinext,3.83
2026-06-12,159915.SZ,创业板ETF,chinext,3.846
2026-06-15,159915.SZ,创业板ETF,chinext,4.045
2026-06-16,159915.SZ,创业板ETF,chinext,4.111
2026-06-17,159915.SZ,创业板ETF,chinext,4.183
2026-06-18,159915.SZ,创业板ETF,chinext,4.269
2026-06-22,159915.SZ,创业板ETF,chinext,4.379
2026-06-23,159915.SZ,创业板ETF,chinext,4.21
2026-06-24,159915.SZ,创业板ETF,chinext,4.258
2026-06-25,159915.SZ,创业板ETF,chinext,4.395
2026-06-26,159915.SZ,创业板ETF,chinext,4.215
2026-06-29,159915.SZ,创业板ETF,chinext,4.236
2026-06-30,159915.SZ,创业板ETF,chinext,4.364
2026-07-01,159915.SZ,创业板ETF,chinext,4.274
2026-07-02,159915.SZ,创业板ETF,chinext,4.036
2026-07-03,159915.SZ,创业板ETF,chinext,4.037
2026-07-06,159915.SZ,创业板ETF,chinext,3.97
2026-07-07,159915.SZ,创业板ETF,chinext,3.932
2026-07-08,159915.SZ,创业板ETF,chinext,3.867
2026-07-09,159915.SZ,创业板ETF,chinext,4.04
2026-07-10,159915.SZ,创业板ETF,chinext,3.862
2026-07-13,159915.SZ,创业板ETF,chinext,3.751
2026-07-14,159915.SZ,创业板ETF,chinext,3.867
2026-07-15,159915.SZ,创业板ETF,chinext,3.828
2026-07-16,159915.SZ,创业板ETF,chinext,3.723
2026-07-17,159915.SZ,创业板ETF,chinext,3.463
2026-07-20,159915.SZ,创业板ETF,chinext,3.477
2026-07-21,159915.SZ,创业板ETF,chinext,3.709
2026-07-22,159915.SZ,创业板ETF,chinext,3.586
2026-07-23,159915.SZ,创业板ETF,chinext,3.597
2026-07-24,159915.SZ,创业板ETF,chinext,3.508
2026-07-27,159915.SZ,创业板ETF,chinext,3.612
2026-07-28,159915.SZ,创业板ETF,chinext,3.355
2026-07-29,159915.SZ,创业板ETF,chinext,3.402
2026-07-30,159915.SZ,创业板ETF,chinext,3.27
2026-07-31,159915.SZ,创业板ETF,chinext,3.368
2026-08-03,159915.SZ,创业板ETF,chinext,3.325
2026-08-04,159915.SZ,创业板ETF,chinext,3.514
2026-08-05,159915.SZ,创业板ETF,chinext,3.56
2026-08-06,159915.SZ,创业板ETF,chinext,3.54
2026-08-07,159915.SZ,创业板ETF,chinext,3.586
2026-08-10,159915.SZ,创业板ETF,chinext,3.559
2026-08-11,159915.SZ,创业板ETF,chinext,3.565
2026-08-12,159915.SZ,创业板ETF,chinext,3.596
2023-08-14,510300.SS,沪深300ETF,csi_300,3.643
2023-08-15,510300.SS,沪深300ETF,csi_300,3.639
2023-08-16,510300.SS,沪深300ETF,csi_300,3.609
2023-08-17,510300.SS,沪深300ETF,csi_300,3.622
2023-08-18,510300.SS,沪深300ETF,csi_300,3.572
2023-08-21,510300.SS,沪深300ETF,csi_300,3.52
2023-08-22,510300.SS,沪深300ETF,csi_300,3.543
2023-08-23,510300.SS,沪深300ETF,csi_300,3.488
2023-08-24,510300.SS,沪深300ETF,csi_300,3.511
2023-08-25,510300.SS,沪深300ETF,csi_300,3.504
2023-08-28,510300.SS,沪深300ETF,csi_300,3.557
2023-08-29,510300.SS,沪深300ETF,csi_300,3.579
2023-08-30,510300.SS,沪深300ETF,csi_300,3.578
2023-08-31,510300.SS,沪深300ETF,csi_300,3.559
2023-09-01,510300.SS,沪深300ETF,csi_300,3.582
2023-09-04,510300.SS,沪深300ETF,csi_300,3.64
2023-09-05,510300.SS,沪深300ETF,csi_300,3.613
2023-09-06,510300.SS,沪深300ETF,csi_300,3.603
2023-09-07,510300.SS,沪深300ETF,csi_300,3.55
2023-09-08,510300.SS,沪深300ETF,csi_300,3.529
2023-09-11,510300.SS,沪深300ETF,csi_300,3.557
2023-09-12,510300.SS,沪深300ETF,csi_300,3.552
2023-09-13,510300.SS,沪深300ETF,csi_300,3.527
2023-09-14,510300.SS,沪深300ETF,csi_300,3.524
2023-09-15,510300.SS,沪深300ETF,csi_300,3.507
2023-09-18,510300.SS,沪深300ETF,csi_300,3.52
2023-09-19,510300.SS,沪深300ETF,csi_300,3.515
2023-09-20,510300.SS,沪深300ETF,csi_300,3.497
2023-09-21,510300.SS,沪深300ETF,csi_300,3.462
2023-09-22,510300.SS,沪深300ETF,csi_300,3.537
2023-09-25,510300.SS,沪深300ETF,csi_300,3.509
2023-09-26,510300.SS,沪深300ETF,csi_300,3.488
2023-09-27,510300.SS,沪深300ETF,csi_300,3.498
2023-09-28,510300.SS,沪深300ETF,csi_300,3.484
2023-10-09,510300.SS,沪深300ETF,csi_300,3.474
2023-10-10,510300.SS,沪深300ETF,csi_300,3.447
2023-10-11,510300.SS,沪深300ETF,csi_300,3.455
2023-10-12,510300.SS,沪深300ETF,csi_300,3.491
2023-10-13,510300.SS,沪深300ETF,csi_300,3.456
2023-10-16,510300.SS,沪深300ETF,csi_300,3.413
2023-10-17,510300.SS,沪深300ETF,csi_300,3.425
2023-10-18,510300.SS,沪深300ETF,csi_300,3.397
2023-10-19,510300.SS,沪深300ETF,csi_300,3.32
2023-10-20,510300.SS,沪深300ETF,csi_300,3.302
2023-10-23,510300.SS,沪深300ETF,csi_300,3.264
2023-10-24,510300.SS,沪深300ETF,csi_300,3.269
2023-10-25,510300.SS,沪深300ETF,csi_300,3.289
2023-10-26,510300.SS,沪深300ETF,csi_300,3.302
2023-10-27,510300.SS,沪深300ETF,csi_300,3.356
2023-10-30,510300.SS,沪深300ETF,csi_300,3.372
2023-10-31,510300.SS,沪深300ETF,csi_300,3.364
2023-11-01,510300.SS,沪深300ETF,csi_300,3.362
2023-11-02,510300.SS,沪深300ETF,csi_300,3.345
2023-11-03,510300.SS,沪深300ETF,csi_300,3.373
2023-11-06,510300.SS,沪深300ETF,csi_300,3.421
2023-11-07,510300.SS,沪深300ETF,csi_300,3.41
2023-11-08,510300.SS,沪深300ETF,csi_300,3.399
2023-11-09,510300.SS,沪深300ETF,csi_300,3.402
2023-11-10,510300.SS,沪深300ETF,csi_300,3.375
2023-11-13,510300.SS,沪深300ETF,csi_300,3.37
2023-11-14,510300.SS,沪深300ETF,csi_300,3.37
2023-11-15,510300.SS,沪深300ETF,csi_300,3.395
2023-11-16,510300.SS,沪深300ETF,csi_300,3.359
2023-11-17,510300.SS,沪深300ETF,csi_300,3.354
2023-11-20,510300.SS,沪深300ETF,csi_300,3.365
2023-11-21,510300.SS,沪深300ETF,csi_300,3.37
2023-11-22,510300.SS,沪深300ETF,csi_300,3.331
2023-11-23,510300.SS,沪深300ETF,csi_300,3.35
2023-11-24,510300.SS,沪深300ETF,csi_300,3.325
2023-11-27,510300.SS,沪深300ETF,csi_300,3.301
2023-11-28,510300.SS,沪深300ETF,csi_300,3.305
2023-11-29,510300.SS,沪深300ETF,csi_300,3.278
2023-11-30,510300.SS,沪深300ETF,csi_300,3.282
2023-12-01,510300.SS,沪深300ETF,csi_300,3.268
2023-12-04,510300.SS,沪深300ETF,csi_300,3.244
2023-12-05,510300.SS,沪深300ETF,csi_300,3.178
2023-12-06,510300.SS,沪深300ETF,csi_300,3.183
2023-12-07,510300.SS,沪深300ETF,csi_300,3.174
2023-12-08,510300.SS,沪深300ETF,csi_300,3.181
2023-12-11,510300.SS,沪深300ETF,csi_300,3.205
2023-12-12,510300.SS,沪深300ETF,csi_300,3.213
2023-12-13,510300.SS,沪深300ETF,csi_300,3.155
2023-12-14,510300.SS,沪深300ETF,csi_300,3.139
2023-12-15,510300.SS,沪深300ETF,csi_300,3.132
2023-12-18,510300.SS,沪深300ETF,csi_300,3.118
2023-12-19,510300.SS,沪深300ETF,csi_300,3.12
2023-12-20,510300.SS,沪深300ETF,csi_300,3.089
2023-12-21,510300.SS,沪深300ETF,csi_300,3.12
2023-12-22,510300.SS,沪深300ETF,csi_300,3.126
2023-12-25,510300.SS,沪深300ETF,csi_300,3.135
2023-12-26,510300.SS,沪深300ETF,csi_300,3.115
2023-12-27,510300.SS,沪深300ETF,csi_300,3.125
2023-12-28,510300.SS,沪深300ETF,csi_300,3.209
2023-12-29,510300.SS,沪深300ETF,csi_300,3.219
2024-01-02,510300.SS,沪深300ETF,csi_300,3.173
2024-01-03,510300.SS,沪深300ETF,csi_300,3.163
2024-01-04,510300.SS,沪深300ETF,csi_300,3.133
2024-01-05,510300.SS,沪深300ETF,csi_300,3.116
2024-01-08,510300.SS,沪深300ETF,csi_300,3.069
2024-01-09,510300.SS,沪深300ETF,csi_300,3.077
2024-01-10,510300.SS,沪深300ETF,csi_300,3.061
2024-01-11,510300.SS,沪深300ETF,csi_300,3.08
2024-01-12,510300.SS,沪深300ETF,csi_300,3.069
2024-01-15,510300.SS,沪深300ETF,csi_300,3.065
2024-01-16,510300.SS,沪深300ETF,csi_300,3.087
2024-01-17,510300.SS,沪深300ETF,csi_300,3.012
2024-01-18,510300.SS,沪深300ETF,csi_300,3.057
2024-01-19,510300.SS,沪深300ETF,csi_300,3.064
2024-01-22,510300.SS,沪深300ETF,csi_300,2.995
2024-01-23,510300.SS,沪深300ETF,csi_300,3.017
2024-01-24,510300.SS,沪深300ETF,csi_300,3.068
2024-01-25,510300.SS,沪深300ETF,csi_300,3.124
2024-01-26,510300.SS,沪深300ETF,csi_300,3.118
2024-01-29,510300.SS,沪深300ETF,csi_300,3.088
2024-01-30,510300.SS,沪深300ETF,csi_300,3.032
2024-01-31,510300.SS,沪深300ETF,csi_300,3.011
2024-02-01,510300.SS,沪深300ETF,csi_300,3.007
2024-02-02,510300.SS,沪深300ETF,csi_300,2.977
2024-02-05,510300.SS,沪深300ETF,csi_300,2.997
2024-02-06,510300.SS,沪深300ETF,csi_300,3.1
2024-02-07,510300.SS,沪深300ETF,csi_300,3.129
2024-02-08,510300.SS,沪深300ETF,csi_300,3.151
2024-02-19,510300.SS,沪深300ETF,csi_300,3.178
2024-02-20,510300.SS,沪深300ETF,csi_300,3.19
2024-02-21,510300.SS,沪深300ETF,csi_300,3.238
2024-02-22,510300.SS,沪深300ETF,csi_300,3.264
2024-02-23,510300.SS,沪深300ETF,csi_300,3.267
2024-02-26,510300.SS,沪深300ETF,csi_300,3.232
2024-02-27,510300.SS,沪深300ETF,csi_300,3.273
2024-02-28,510300.SS,沪深300ETF,csi_300,3.237
2024-02-29,510300.SS,沪深300ETF,csi_300,3.292
2024-03-01,510300.SS,沪深300ETF,csi_300,3.319
2024-03-04,510300.SS,沪深300ETF,csi_300,3.316
2024-03-05,510300.SS,沪深300ETF,csi_300,3.345
2024-03-06,510300.SS,沪深300ETF,csi_300,3.331
2024-03-07,510300.SS,沪深300ETF,csi_300,3.312
2024-03-08,510300.SS,沪深300ETF,csi_300,3.322
2024-03-11,510300.SS,沪深300ETF,csi_300,3.37
2024-03-12,510300.SS,沪深300ETF,csi_300,3.375
2024-03-13,510300.SS,沪深300ETF,csi_300,3.354
2024-03-14,510300.SS,沪深300ETF,csi_300,3.341
2024-03-15,510300.SS,沪深300ETF,csi_300,3.35
2024-03-18,510300.SS,沪深300ETF,csi_300,3.381
2024-03-19,510300.SS,沪深300ETF,csi_300,3.358
2024-03-20,510300.SS,沪深300ETF,csi_300,3.361
2024-03-21,510300.SS,沪深300ETF,csi_300,3.359
2024-03-22,510300.SS,沪深300ETF,csi_300,3.328
2024-03-25,510300.SS,沪深300ETF,csi_300,3.309
2024-03-26,510300.SS,沪深300ETF,csi_300,3.32
2024-03-27,510300.SS,沪深300ETF,csi_300,3.282
2024-03-28,510300.SS,沪深300ETF,csi_300,3.299
2024-03-29,510300.SS,沪深300ETF,csi_300,3.315
2024-04-01,510300.SS,沪深300ETF,csi_300,3.373
2024-04-02,510300.SS,沪深300ETF,csi_300,3.361
